"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/001-create-regions.cjs", "JavaScript", 30, 0, 0, 5, 35
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/002-create-roles.cjs", "JavaScript", 31, 0, 0, 5, 36
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/002-create-villes.cjs", "JavaScript", 40, 0, 0, 8, 48
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/003-create-users.cjs", "JavaScript", 68, 0, 0, 11, 79
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/004-create-usersPhotos.cjs", "JavaScript", 40, 0, 0, 8, 48
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/005-create-categories.cjs", "JavaScript", 31, 0, 0, 5, 36
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/006-create-subCategories.cjs", "JavaScript", 40, 0, 0, 8, 48
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/007-create-etatArticle.cjs", "JavaScript", 31, 0, 0, 5, 36
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/008-create-articles.cjs", "JavaScript", 64, 0, 0, 9, 73
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/009-create-tags.cjs", "JavaScript", 41, 0, 0, 6, 47
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/010-create-favorites.cjs", "JavaScript", 51, 0, 0, 11, 62
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/011-create-conversations.cjs", "JavaScript", 26, 0, 0, 4, 30
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/012-create-conversationsParticipants.cjs", "JavaScript", 51, 0, 0, 7, 58
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/013-create-notifications.cjs", "JavaScript", 49, 0, 0, 8, 57
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/014-create-notation.cjs", "JavaScript", 48, 0, 0, 7, 55
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/015-create-reports.cjs", "JavaScript", 54, 0, 0, 8, 62
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/016-create-photosArticle.cjs", "JavaScript", 45, 0, 0, 7, 52
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/017-create-propositions-troc.cjs", "JavaScript", 55, 0, 0, 8, 63
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/018-create-messages.cjs", "JavaScript", 53, 0, 0, 10, 63
